date,amzn_close,amzn_volume,fb_close,fb_volume,intc_close,intc_volume
2/13/2015,381.829987,3475100,75.739998,18621900,34.360001,18037900
2/17/2015,375.429993,3673200,75.599998,25254400,34.740002,19374100
2/18/2015,373.369995,2650600,76.709999,22426400,34.27,19992900
2/19/2015,379,2953800,79.419998,45851200,34.209999,11017500
2/20/2015,383.660004,3258000,79.900002,36931700,34.41,20955600
2/23/2015,380.140015,2177000,78.839996,24139100,33.759998,25565500
2/24/2015,378.589996,1920800,78.449997,18897100,34.41,29607500
2/25/2015,385.369995,3174500,79.559998,25593800,33.950001,24686300
2/26/2015,384.799988,2687100,80.410004,31111900,33.650002,25928400
2/27/2015,380.160004,2532300,78.970001,30739200,33.25,24427300
3/2/2015,385.660004,2139200,79.750000,21662500,34.060001,25406400
3/3/2015,384.609985,1946500,79.599998,18635000,34.099998,27332000
3/4/2015,382.720001,2259100,80.900002,28126700,34.119999,23005800
3/5/2015,387.829987,2693500,81.209999,27825700,33.73,21225800
3/6/2015,380.089996,2627000,80.010002,24488600,33.189999,32373100
3/9/2015,378.559998,2311400,79.440002,18925100,32.720001,33058800
3/10/2015,369.51001,3121000,77.550003,23067100,31.700001,50278900
3/11/2015,366.369995,2495100,77.570000,20215700,32.330002,49683600
3/12/2015,374.23999,2810000,78.930000,16093300,30.799999,107402400
3/13/2015,370.579987,2611700,78.050003,18557300,30.93,47954700
3/16/2015,373.350006,2354100,78.070000,19305400,30.83,33074600
3/17/2015,371.920013,2037000,79.360001,22170000,30.59,29215600
3/18/2015,375.140015,2654100,80.910004,36912400,30.889999,39834100
3/19/2015,373.23999,1915700,82.750000,42099500,30.74,27414200
3/20/2015,378.48999,3763600,83.800003,44466300,31.309999,64777100
3/23/2015,375.109985,2239300,84.430000,27357300,31.200001,29694000
3/24/2015,374.089996,2228200,85.309998,32576500,30.790001,28471400
3/25/2015,370.959991,3429500,82.919998,37436100,29.889999,37691000
3/26/2015,367.350006,2930000,83.010002,32794800,30.790001,45450100
3/27/2015,370.559998,2609800,83.300003,18372600,32,73857200
3/30/2015,374.589996,1820900,83.199997,24527700,31.459999,51391500
3/31/2015,372.100006,2506100,82.220001,19734300,31.27,32098500
4/1/2015,370.26001,2458100,81.669998,22058200,30.809999,31532100
4/2/2015,372.25,1875300,81.559998,19664100,30.809999,20909600
4/6/2015,377.040009,3050700,82.440002,19062900,31.040001,21490900
4/7/2015,374.410004,1954900,82.320000,17467000,31.26,23258300
4/8/2015,381.200012,2636400,82.279999,18966700,31.309999,18250300
4/9/2015,383.540009,2392300,82.169998,15927300,31.24,34167600
4/10/2015,382.649994,2573500,82.040001,12529700,31.93,28084900
4/13/2015,382.359985,1894500,83.010002,26883100,31.73,23489000
4/14/2015,385.109985,2583600,83.519997,19634200,31.49,39754000
4/15/2015,383.450012,1933200,82.709999,22390900,32.830002,61083500
4/16/2015,386.040009,2080400,82.309998,13769700,32.869999,28903200
4/17/2015,375.559998,3839700,80.779999,24215000,32.470001,30593600
4/20/2015,389.51001,5016100,83.089996,28796800,32.73,20649300
4/21/2015,391.179993,4643500,83.620003,27171900,32.43,19023800
4/22/2015,389.799988,3474700,84.629997,45548000,32.700001,21144200
4/23/2015,389.98999,7980000,82.410004,73728100,32.349998,23775300
4/24/2015,445.100006,17176900,81.529999,29660400,32.080002,22759900
4/27/2015,438.559998,5430900,81.910004,25446000,32.5,25869600
4/28/2015,429.309998,4140500,80.680000,23775300,33.02,29572800
4/29/2015,429.369995,3621700,80.470001,26430300,32.889999,21819000
4/30/2015,421.779999,3647900,78.769997,28999000,32.549999,22013300
5/1/2015,422.869995,3565800,78.989998,24136400,33.419998,27091200
5/4/2015,423.040009,2270400,78.809998,14692000,33.43,21397300
5/5/2015,421.190002,2856400,77.559998,22311300,32.639999,29779200
5/6/2015,419.100006,2552500,78.099998,28663000,32.220001,31985400
5/7/2015,426.880005,2766100,78.430000,19749400,32.240002,21475300
5/8/2015,433.690002,2908800,78.510002,19943600,32.799999,26926500
5/11/2015,432.850006,2393700,78.010002,18874100,32.689999,18358600
5/12/2015,431.019989,1947800,77.459999,21285300,32.25,24530200
5/13/2015,426.869995,1996300,78.440002,21512300,32.639999,20470800
5/14/2015,432.279999,1888500,81.370003,49438000,32.970001,21098900
5/15/2015,426,4240300,80.419998,27069900,32.990002,17149700
5/18/2015,425.23999,2390200,80.879997,21613700,33.41,23689500
5/19/2015,421.709991,2464200,80.629997,17955400,33.150002,21867100
5/20/2015,423.859985,2196200,80.550003,23056900,33.369999,21359800
5/21/2015,431.630005,4121400,80.480003,13402700,33.549999,21269800
5/22/2015,427.630005,2020600,80.540001,19567900,33.450001,20845000
5/26/2015,425.470001,2244200,79.330002,16321300,33.099998,28594500
5/27/2015,431.420013,2231100,80.550003,14160900,33.709999,30172700
5/28/2015,426.570007,1912400,80.150002,11982000,34.009998,27065700
5/29/2015,429.230011,3016100,79.190002,16134600,34.459999,43545500
6/1/2015,430.920013,2253300,80.290001,18119000,33.91,46734500
6/2/2015,430.98999,1668900,80.440002,18923300,33.27,36351100
6/3/2015,436.589996,2727900,82.440002,31775000,32.73,38138700
6/4/2015,430.779999,2510800,82.050003,20863900,32.310001,33761800
6/5/2015,426.950012,1907900,82.139999,16143100,31.84,27778500
6/8/2015,423.5,2172500,80.669998,16915500,31.299999,38171600
6/9/2015,425.480011,2288700,80.669998,16497500,31.25,33976700
6/10/2015,430.769989,2172300,82.160004,21531200,31.82,33336800
6/11/2015,432.970001,2922500,81.830002,18656800,31.85,24293600
6/12/2015,429.920013,2054400,81.529999,11417900,31.32,31629800
6/15/2015,423.670013,2051000,80.709999,18805100,31.389999,23175000
6/16/2015,427.26001,2296400,81.059998,13693700,31.639999,20254500
6/17/2015,427.809998,2185900,81.790001,18350300,31.950001,28194200
6/18/2015,439.390015,3378400,82.910004,26782600,32.380001,27722400
6/19/2015,434.920013,4495100,82.510002,23353200,32.07,39008400
